EventParameter,UniqueId,DTCClassRef,DemDtcValue
FAULT_ssm_IBS_SuC_CVMInitSequenceFailure,0x3F,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_SuC_ErrorPinFAilure,0x8D,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ssm_IBS_SuC_HighBatDisconnectCOM,0x2D,DTC_MPC3_SupplyVoltageHigh,0xA80003
FAULT_ssm_IBS_SuC_HighTemperatureFailure,0x1F,DTC_MPC3_TemporaryHighTemp,0x62FFE0
FAULT_ssm_IBS_SuC_I_Volt2V8High,0x2E,DTC_MPC3_InternalVoltageFailure,0x5BFFFF
FAULT_ssm_IBS_SuC_I_Volt2V8Low,0x2F,DTC_MPC3_InternalVoltageFailure,0x5BFFFF
FAULT_ssm_IBS_SuC_InternalFailure,0xAA,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_SuC_LowBatDisconnectCOM,0x30,DTC_MPC3_SupplyVoltageLow,0xA80004
FAULT_ssm_IBS_SuC_SPICommInvalidRC,0x67,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_ssm_IBS_SuC_ShutDownCAN1Failure,0x31,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_SuC_StartUpTemperatureFailure,0x20,DTC_MPC3_TemporaryHighTemp,0x62FFE0
FAULT_ssm_IBS_SuC_Volt0V8High,0x33,DTC_MPC3_InternalVoltageFailure,0x5BFFFF
